"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"1074","1168000000","82","서울특별시","강남구","세곡해오름공원","1168011100","1168070000","서울특별시 강남구 헌릉로590길 55(세곡동)","1800","127.103361","37.460398","209144.567636","540113.886861"
"1075","1168000000","102","서울특별시","강남구","신사무궁화공원","1168010700","1168051000","서울특별시 강남구 신사동 625-5","775","127.031920","37.524117","202821.616631","547181.273804"
"1076","1168000000","107","서울특별시","강남구","현대고등학교 운동장","1168011000","1168051000","서울특별시 강남구 압구정로 127(압구정동)","12230","127.022672","37.525093","202004.137135","547289.361949"
"1077","1168000000","127","서울특별시","강남구","로봇고등학교 운동장","1168011400","1168072000","서울특별시 강남구 광평로20길 63(일원동)","2113","127.084249","37.480406","207451.665605","542332.793581"
"1078","1162000000","113","서울특별시","관악구","미성초등학교 운동장","1162010200","1162076500","서울특별시 관악구 문성로 79(신림동)","5971","126.912271","37.477715","192240.220137","542034.354170"
"1079","1162000000","114","서울특별시","관악구","미성중학교 운동장","1162010200","1162076500","서울특별시 관악구 문성로16길 40(신림동)","5175","126.912617","37.475262","192270.568838","541762.084635"
"1080","1117000000","25","서울특별시","용산구","용산고등학교 운동장","1117010200","1117052000","서울특별시 용산구 두텁바위로 60(용산동2가)","6430","126.980471","37.544968","198274.175831","549495.184726"
"1081","1126000000","85","서울특별시","중랑구","면북초등학교 운동장","1126010500","1126066000","서울특별시 중랑구 용마공원로5길 32(망우동)","1853","127.103557","37.594070","209145.567068","554949.777445"
"1082","1168000000","129","서울특별시","강남구","일원장미공원","1168011400","1168067000","서울특별시 강남구 광평로10길 28(일원동)","548","127.080772","37.480642","207144.139747","542358.752805"
"1083","1156000000","47","서울특별시","영등포구","영문초등학교 운동장","1156012400","1156060500","서울특별시 영등포구 문래로 56(문래동6가)","2388.9","126.887911","37.519583","190091.064378","546683.454911"
"1084","1117000000","33","서울특별시","용산구","청파선린공원","1117011100","1117055000","서울특별시 용산구 청파동3가 118-56","1940","126.966240","37.543522","197016.447355","549335.112987"
"1085","1156000000","51","서울특별시","영등포구","영등포여자고등학교 운동장","1156013200","1156051500","서울특별시 영등포구 영등포로62길 13(신길동)","2257.7","126.915092","37.515064","192493.521622","546179.420912"
